Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,218.0,220.0,218.0,220.0,220.0,19300
2021-01-05,220.0,220.0,218.0,220.0,220.0,54600
2021-01-06,216.0,216.0,208.0,212.0,212.0,1900
2021-01-07,212.0,216.0,204.0,204.0,204.0,247800
2021-01-08,202.0,210.0,190.0,190.0,190.0,303300
2021-01-11,180.0,200.0,180.0,194.0,194.0,156300
2021-01-12,204.0,204.0,183.0,191.0,191.0,230900
2021-01-13,189.0,189.0,181.0,188.0,188.0,45800
2021-01-14,188.0,190.0,181.0,181.0,181.0,122100
2021-01-15,178.0,195.0,177.0,191.0,191.0,993900
2021-01-18,191.0,198.0,181.0,198.0,198.0,70400
2021-01-19,198.0,198.0,185.0,194.0,194.0,74200
2021-01-20,194.0,200.0,193.0,198.0,198.0,355500
2021-01-21,198.0,198.0,197.0,198.0,198.0,79600
2021-01-22,189.0,195.0,189.0,195.0,195.0,45800
2021-01-25,195.0,195.0,194.0,194.0,194.0,42000
2021-01-26,194.0,194.0,190.0,190.0,190.0,42300
2021-01-27,190.0,190.0,190.0,190.0,190.0,40300
2021-01-28,190.0,192.0,190.0,192.0,192.0,41900
2021-01-29,190.0,192.0,184.0,190.0,190.0,195900
2021-02-01,190.0,190.0,189.0,190.0,190.0,39500
2021-02-02,189.0,189.0,189.0,189.0,189.0,39700
2021-02-03,189.0,190.0,180.0,190.0,190.0,44800
2021-02-04,189.0,190.0,189.0,189.0,189.0,42300
2021-02-05,181.0,187.0,181.0,187.0,187.0,45100
2021-02-08,187.0,187.0,187.0,187.0,187.0,40600
2021-02-09,187.0,187.0,187.0,187.0,187.0,40700
2021-02-10,187.0,187.0,182.0,182.0,182.0,48900
2021-02-11,182.0,183.0,182.0,183.0,183.0,41300
2021-02-15,184.0,184.0,181.0,181.0,181.0,43000
2021-02-16,181.0,187.0,181.0,187.0,187.0,40300
2021-02-17,185.0,186.0,185.0,185.0,185.0,40900
2021-02-18,185.0,193.0,185.0,191.0,191.0,207500
2021-02-19,186.0,195.0,186.0,192.0,192.0,49400
2021-02-22,190.0,191.0,189.0,189.0,189.0,42900
2021-02-23,186.0,189.0,186.0,189.0,189.0,42900
2021-02-24,189.0,199.0,186.0,186.0,186.0,43400
2021-02-25,186.0,186.0,184.0,186.0,186.0,42700
2021-02-26,186.0,186.0,180.0,180.0,180.0,43500
2021-03-01,181.0,183.0,179.0,183.0,183.0,48000
2021-03-02,188.0,200.0,183.0,200.0,200.0,171100
2021-03-03,200.0,226.0,200.0,212.0,212.0,312500
2021-03-04,220.0,222.0,198.0,210.0,210.0,146000
2021-03-05,206.0,206.0,198.0,204.0,204.0,114300
2021-03-08,197.0,204.0,197.0,204.0,204.0,66500
2021-03-09,190.0,204.0,190.0,204.0,204.0,53300
2021-03-10,202.0,214.0,191.0,204.0,204.0,15400
