Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,144.0,150.0,136.0,144.0,144.0,13117100
2021-01-05,144.0,150.0,142.0,146.0,146.0,9710100
2021-01-06,147.0,149.0,142.0,143.0,143.0,4905600
2021-01-07,143.0,153.0,143.0,147.0,147.0,17322400
2021-01-08,149.0,151.0,145.0,147.0,147.0,7230900
2021-01-11,148.0,153.0,146.0,147.0,147.0,8018800
2021-01-12,148.0,149.0,143.0,144.0,144.0,5016700
2021-01-13,148.0,155.0,147.0,149.0,149.0,19869300
2021-01-14,150.0,151.0,145.0,145.0,145.0,5980400
2021-01-15,146.0,149.0,139.0,147.0,147.0,8774700
2021-01-18,147.0,149.0,140.0,142.0,142.0,6798200
2021-01-19,142.0,143.0,137.0,137.0,137.0,8055800
2021-01-20,142.0,143.0,137.0,139.0,139.0,7131400
2021-01-21,140.0,142.0,137.0,141.0,141.0,4726900
2021-01-22,142.0,142.0,136.0,137.0,137.0,9623900
2021-01-25,137.0,137.0,128.0,128.0,128.0,9089500
2021-01-26,128.0,132.0,120.0,120.0,120.0,8291700
2021-01-27,119.0,124.0,112.0,112.0,112.0,7975300
2021-01-28,112.0,117.0,105.0,108.0,108.0,5104000
2021-01-29,108.0,114.0,108.0,112.0,112.0,4442900
2021-02-01,114.0,126.0,111.0,118.0,118.0,4586100
2021-02-02,118.0,120.0,116.0,118.0,118.0,1726100
2021-02-03,120.0,127.0,114.0,119.0,119.0,1118600
2021-02-04,121.0,121.0,117.0,119.0,119.0,1213800
2021-02-05,119.0,126.0,116.0,118.0,118.0,6123000
2021-02-08,118.0,125.0,118.0,125.0,125.0,3251100
2021-02-09,126.0,128.0,121.0,124.0,124.0,2934700
2021-02-10,123.0,123.0,121.0,123.0,123.0,793400
2021-02-11,123.0,123.0,120.0,122.0,122.0,1070400
2021-02-15,122.0,126.0,122.0,124.0,124.0,2291800
2021-02-16,124.0,126.0,123.0,123.0,123.0,686900
2021-02-17,124.0,139.0,122.0,125.0,125.0,21811300
2021-02-18,127.0,134.0,125.0,126.0,126.0,8134000
2021-02-19,128.0,133.0,126.0,128.0,128.0,6917700
2021-02-22,128.0,130.0,123.0,127.0,127.0,6038100
2021-02-23,127.0,127.0,125.0,126.0,126.0,1274200
2021-02-24,126.0,126.0,120.0,125.0,125.0,3306500
2021-02-25,125.0,129.0,123.0,125.0,125.0,4162000
2021-02-26,126.0,126.0,122.0,124.0,124.0,2162400
2021-03-01,125.0,126.0,118.0,120.0,120.0,8247100
2021-03-02,118.0,124.0,118.0,119.0,119.0,1379600
2021-03-03,119.0,128.0,119.0,120.0,120.0,5785300
2021-03-04,122.0,127.0,120.0,126.0,126.0,9494300
2021-03-05,129.0,129.0,120.0,121.0,121.0,5195100
2021-03-08,121.0,129.0,121.0,126.0,126.0,11641200
2021-03-09,127.0,136.0,125.0,135.0,135.0,31452000
2021-03-10,137.0,139.0,127.0,129.0,129.0,16579100
2021-03-12,129.0,132.0,124.0,127.0,127.0,8893300
2021-03-15,128.0,135.0,124.0,127.0,127.0,14270200
2021-03-16,128.0,134.0,125.0,133.0,133.0,11802500
2021-03-17,130.0,134.0,128.0,128.0,128.0,4840300
2021-03-18,129.0,131.0,125.0,126.0,126.0,5227100
2021-03-19,127.0,131.0,125.0,129.0,129.0,11082800
2021-03-22,130.0,130.0,125.0,125.0,125.0,5205500
2021-03-23,125.0,127.0,121.0,123.0,123.0,5910300
2021-03-24,123.0,125.0,120.0,120.0,120.0,4560900
2021-03-25,120.0,121.0,115.0,117.0,117.0,6412100
2021-03-26,118.0,120.0,117.0,119.0,119.0,1061800
2021-03-29,120.0,122.0,116.0,119.0,119.0,2133400
2021-03-30,119.0,119.0,114.0,116.0,116.0,3066000
2021-03-31,116.0,118.0,113.0,115.0,115.0,1893300
2021-04-01,115.0,118.0,115.0,117.0,117.0,1010000
2021-04-05,117.0,117.0,114.0,114.0,114.0,901000
2021-04-06,114.0,115.0,112.0,115.0,115.0,1083300
2021-04-07,117.0,122.0,114.0,116.0,116.0,5292000
2021-04-08,117.0,124.0,116.0,120.0,120.0,3783700
2021-04-09,120.0,122.0,119.0,119.0,119.0,1525800
2021-04-12,119.0,119.0,114.0,114.0,114.0,2727600
2021-04-13,116.0,116.0,112.0,114.0,114.0,4508700
2021-04-14,114.0,115.0,113.0,114.0,114.0,1124900
2021-04-15,114.0,115.0,113.0,114.0,114.0,1527000
2021-04-16,115.0,115.0,112.0,113.0,113.0,953000
2021-04-19,113.0,119.0,113.0,113.0,113.0,1430800
2021-04-20,114.0,116.0,113.0,116.0,116.0,859500
2021-04-21,116.0,130.0,116.0,128.0,128.0,33936300
2021-04-22,128.0,134.0,124.0,124.0,124.0,35256300
2021-04-23,124.0,124.0,120.0,121.0,121.0,4104400
2021-04-26,121.0,121.0,118.0,119.0,119.0,2543500
2021-04-27,119.0,119.0,119.0,119.0,119.0,0
