Date,Open,High,Low,Close,Adj Close,Volume
2021-03-30,57.0,57.0,54.0,54.0,54.0,13450200
2021-03-31,51.0,58.0,51.0,52.0,52.0,55413900
2021-04-01,52.0,55.0,51.0,52.0,52.0,23260500
2021-04-05,54.0,55.0,52.0,53.0,53.0,14427600
2021-04-06,55.0,55.0,52.0,52.0,52.0,6492800
2021-04-07,53.0,54.0,52.0,52.0,52.0,8945000
2021-04-08,53.0,62.0,52.0,57.0,57.0,61193500
2021-04-09,57.0,60.0,55.0,56.0,56.0,24116400
2021-04-12,56.0,59.0,54.0,55.0,55.0,6723500
2021-04-13,55.0,66.0,54.0,58.0,58.0,118844000
2021-04-14,59.0,64.0,57.0,60.0,60.0,75935900
2021-04-15,62.0,65.0,58.0,59.0,59.0,44959300
2021-04-16,60.0,60.0,58.0,59.0,59.0,8291600
2021-04-19,60.0,64.0,59.0,62.0,62.0,85331000
2021-04-20,63.0,65.0,59.0,59.0,59.0,41240400
2021-04-21,60.0,60.0,56.0,58.0,58.0,11690300
2021-04-22,57.0,59.0,57.0,57.0,57.0,6379100
2021-04-23,57.0,57.0,54.0,54.0,54.0,27433000
2021-04-26,52.0,54.0,51.0,51.0,51.0,55935600
2021-04-27,51.0,51.0,50.0,50.0,50.0,14356300
2021-04-28,50.0,52.0,50.0,50.0,50.0,17305300
2021-04-29,50.0,51.0,50.0,50.0,50.0,2825100
2021-04-30,50.0,51.0,50.0,50.0,50.0,15040400
2021-05-03,50.0,51.0,50.0,50.0,50.0,1760700
2021-05-04,50.0,50.0,50.0,50.0,50.0,409700
2021-05-05,50.0,50.0,50.0,50.0,50.0,92900
2021-05-06,50.0,50.0,50.0,50.0,50.0,103100
2021-05-07,50.0,50.0,50.0,50.0,50.0,238800
2021-05-10,50.0,50.0,50.0,50.0,50.0,1005100
2021-05-11,50.0,50.0,50.0,50.0,50.0,2154800
2021-05-17,50.0,50.0,50.0,50.0,50.0,119200
2021-05-18,50.0,50.0,50.0,50.0,50.0,607600
2021-05-19,50.0,50.0,50.0,50.0,50.0,73000
2021-05-20,50.0,50.0,50.0,50.0,50.0,107700
2021-05-21,50.0,50.0,50.0,50.0,50.0,118900
2021-05-24,50.0,50.0,50.0,50.0,50.0,5000
2021-05-25,50.0,50.0,50.0,50.0,50.0,2600
2021-05-27,50.0,50.0,50.0,50.0,50.0,553800
2021-05-28,50.0,50.0,50.0,50.0,50.0,227000
2021-05-31,50.0,50.0,50.0,50.0,50.0,303900
2021-06-02,50.0,50.0,50.0,50.0,50.0,154900
2021-06-03,50.0,50.0,50.0,50.0,50.0,241000
2021-06-07,50.0,50.0,50.0,50.0,50.0,4100
2021-06-08,50.0,50.0,50.0,50.0,50.0,67700
2021-06-09,50.0,50.0,50.0,50.0,50.0,9300
2021-06-10,50.0,50.0,50.0,50.0,50.0,2400
2021-06-11,50.0,50.0,50.0,50.0,50.0,4600
2021-06-14,50.0,50.0,50.0,50.0,50.0,189400
2021-06-15,50.0,50.0,50.0,50.0,50.0,109900
2021-06-16,50.0,50.0,50.0,50.0,50.0,11200
2021-06-17,50.0,50.0,50.0,50.0,50.0,20200
2021-06-18,50.0,50.0,50.0,50.0,50.0,32900
2021-06-21,50.0,50.0,50.0,50.0,50.0,18100
2021-06-22,50.0,50.0,50.0,50.0,50.0,14700
2021-06-23,50.0,50.0,50.0,50.0,50.0,28600
2021-06-24,50.0,50.0,50.0,50.0,50.0,38200
2021-06-25,50.0,50.0,50.0,50.0,50.0,28100
2021-06-28,50.0,50.0,50.0,50.0,50.0,3200
2021-06-29,50.0,50.0,50.0,50.0,50.0,2700
2021-06-30,50.0,50.0,50.0,50.0,50.0,13600
2021-07-01,50.0,50.0,50.0,50.0,50.0,2016800
2021-07-02,50.0,50.0,50.0,50.0,50.0,546200
2021-07-05,50.0,50.0,50.0,50.0,50.0,18600
2021-07-06,50.0,50.0,50.0,50.0,50.0,388400
2021-07-07,50.0,50.0,50.0,50.0,50.0,133200
2021-07-08,50.0,50.0,50.0,50.0,50.0,7800
2021-07-09,50.0,50.0,50.0,50.0,50.0,14500
2021-07-12,50.0,50.0,50.0,50.0,50.0,12500
2021-07-13,50.0,50.0,50.0,50.0,50.0,17100
2021-07-14,50.0,50.0,50.0,50.0,50.0,2100
2021-07-15,50.0,50.0,50.0,50.0,50.0,5800
2021-07-19,50.0,50.0,50.0,50.0,50.0,20900
2021-07-21,50.0,50.0,50.0,50.0,50.0,300
2021-07-22,50.0,50.0,50.0,50.0,50.0,11900
2021-07-23,50.0,50.0,50.0,50.0,50.0,11700
2021-07-26,50.0,50.0,50.0,50.0,50.0,162600
2021-07-27,50.0,50.0,50.0,50.0,50.0,700
2021-07-28,50.0,50.0,50.0,50.0,50.0,100
2021-07-29,50.0,50.0,50.0,50.0,50.0,1100
2021-08-02,50.0,50.0,50.0,50.0,50.0,1700
2021-08-03,50.0,50.0,50.0,50.0,50.0,4000
2021-08-04,50.0,50.0,50.0,50.0,50.0,2300
2021-08-05,50.0,50.0,50.0,50.0,50.0,5100
2021-08-06,50.0,50.0,50.0,50.0,50.0,109000
2021-08-09,50.0,50.0,50.0,50.0,50.0,600
2021-08-10,50.0,50.0,50.0,50.0,50.0,900
2021-08-12,50.0,50.0,50.0,50.0,50.0,6700
2021-08-13,50.0,50.0,50.0,50.0,50.0,6800
2021-08-19,50.0,50.0,50.0,50.0,50.0,1000
2021-08-20,50.0,50.0,50.0,50.0,50.0,96900
2021-08-24,50.0,50.0,50.0,50.0,50.0,3600
2021-08-25,50.0,50.0,50.0,50.0,50.0,30200
2021-08-26,50.0,50.0,50.0,50.0,50.0,2200
2021-08-27,50.0,50.0,50.0,50.0,50.0,395200
2021-08-30,50.0,50.0,50.0,50.0,50.0,211000
2021-08-31,50.0,50.0,50.0,50.0,50.0,22000
2021-09-03,50.0,50.0,50.0,50.0,50.0,3100
2021-09-06,50.0,50.0,50.0,50.0,50.0,21800
2021-09-08,50.0,50.0,50.0,50.0,50.0,4400
2021-09-09,50.0,50.0,50.0,50.0,50.0,4300
2021-09-10,50.0,50.0,50.0,50.0,50.0,55700
2021-09-13,50.0,50.0,50.0,50.0,50.0,1400
2021-09-14,50.0,50.0,50.0,50.0,50.0,80500
2021-09-15,50.0,50.0,50.0,50.0,50.0,3800
2021-09-16,50.0,50.0,50.0,50.0,50.0,533400
2021-09-17,50.0,50.0,50.0,50.0,50.0,1988100
2021-09-20,50.0,67.0,50.0,60.0,60.0,591665900
2021-09-21,61.0,62.0,56.0,56.0,56.0,128584600
2021-09-22,55.0,56.0,53.0,53.0,53.0,54716100
2021-09-23,50.0,53.0,50.0,50.0,50.0,89739100
2021-09-24,50.0,58.0,50.0,50.0,50.0,240395300
2021-09-27,51.0,54.0,50.0,50.0,50.0,47069200
2021-09-28,50.0,51.0,50.0,50.0,50.0,12017700
2021-09-29,50.0,51.0,50.0,50.0,50.0,13646500
2021-09-30,50.0,51.0,50.0,50.0,50.0,6192000
2021-10-01,50.0,50.0,50.0,50.0,50.0,858900
2021-10-04,50.0,50.0,50.0,50.0,50.0,268800
2021-10-05,50.0,50.0,50.0,50.0,50.0,643000
2021-10-06,50.0,50.0,50.0,50.0,50.0,149100
2021-10-07,50.0,50.0,50.0,50.0,50.0,76800
2021-10-08,50.0,50.0,50.0,50.0,50.0,195500
2021-10-11,50.0,50.0,50.0,50.0,50.0,80400
2021-10-12,50.0,50.0,50.0,50.0,50.0,379000
2021-10-13,50.0,50.0,50.0,50.0,50.0,57800
2021-10-14,50.0,50.0,50.0,50.0,50.0,5300
2021-10-15,50.0,50.0,50.0,50.0,50.0,70500
2021-10-18,50.0,50.0,50.0,50.0,50.0,539300
2021-10-19,50.0,50.0,50.0,50.0,50.0,104000
2021-10-21,50.0,50.0,50.0,50.0,50.0,24200
2021-10-22,50.0,50.0,50.0,50.0,50.0,123300
2021-10-25,50.0,50.0,50.0,50.0,50.0,10200
2021-10-26,50.0,50.0,50.0,50.0,50.0,18200
2021-10-29,50.0,50.0,50.0,50.0,50.0,6000
2021-11-01,50.0,50.0,50.0,50.0,50.0,545600
2021-11-02,50.0,50.0,50.0,50.0,50.0,12200
2021-11-03,50.0,50.0,50.0,50.0,50.0,17300
2021-11-05,50.0,50.0,50.0,50.0,50.0,52400
2021-11-08,50.0,50.0,50.0,50.0,50.0,18700
2021-11-09,50.0,50.0,50.0,50.0,50.0,27100
2021-11-10,50.0,50.0,50.0,50.0,50.0,14800
2021-11-11,50.0,50.0,50.0,50.0,50.0,561800
2021-11-12,50.0,50.0,50.0,50.0,50.0,200000
2021-11-15,50.0,50.0,50.0,50.0,50.0,222300
2021-11-16,50.0,50.0,50.0,50.0,50.0,64300
2021-11-17,50.0,50.0,50.0,50.0,50.0,54900
2021-11-18,50.0,50.0,50.0,50.0,50.0,72700
2021-11-19,50.0,50.0,50.0,50.0,50.0,8200
2021-11-22,50.0,50.0,50.0,50.0,50.0,31800
2021-11-24,50.0,50.0,50.0,50.0,50.0,65600
2021-11-25,50.0,50.0,50.0,50.0,50.0,19800
2021-11-26,50.0,50.0,50.0,50.0,50.0,54200
2021-11-29,50.0,50.0,50.0,50.0,50.0,208900
2021-11-30,50.0,50.0,50.0,50.0,50.0,7600
2021-12-02,50.0,50.0,50.0,50.0,50.0,58400
2021-12-03,50.0,50.0,50.0,50.0,50.0,17200
2021-12-06,50.0,50.0,50.0,50.0,50.0,0
2021-12-07,50.0,50.0,50.0,50.0,50.0,10600
2021-12-09,50.0,50.0,50.0,50.0,50.0,409500
2021-12-10,50.0,50.0,50.0,50.0,50.0,45500
2021-12-13,50.0,50.0,50.0,50.0,50.0,30700
2021-12-14,50.0,50.0,50.0,50.0,50.0,13100
2021-12-16,50.0,50.0,50.0,50.0,50.0,51000
2021-12-17,50.0,50.0,50.0,50.0,50.0,37500
2021-12-20,50.0,50.0,50.0,50.0,50.0,26500
2021-12-22,50.0,50.0,50.0,50.0,50.0,105800
2021-12-24,50.0,50.0,50.0,50.0,50.0,256500
2021-12-28,50.0,50.0,50.0,50.0,50.0,634200
2021-12-29,50.0,50.0,50.0,50.0,50.0,5500
2021-12-30,50.0,50.0,50.0,50.0,50.0,500
2022-01-05,50.0,50.0,50.0,50.0,50.0,2500
