Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,136.0,136.0,136.0,136.0,135.92689514160156,5000
2021-02-02,183.0,183.0,183.0,183.0,182.90164184570312,5000
2021-02-03,246.0,246.0,246.0,246.0,245.86776733398438,6100
2021-02-04,306.0,306.0,306.0,306.0,305.83551025390625,10500
2021-02-05,382.0,382.0,382.0,382.0,381.794677734375,20100
2021-02-08,470.0,476.0,470.0,476.0,475.744140625,3351200
2021-02-09,595.0,595.0,490.0,545.0,544.70703125,27488400
2021-02-10,545.0,615.0,510.0,550.0,549.704345703125,20656000
2021-02-11,570.0,575.0,515.0,515.0,514.7232055664062,1822200
2021-02-15,480.0,500.0,480.0,480.0,479.74200439453125,350100
2021-02-16,448.0,510.0,448.0,498.0,497.7323303222656,24390900
2021-02-17,505.0,535.0,468.0,530.0,529.715087890625,4865800
2021-02-18,535.0,585.0,500.0,525.0,524.7178344726562,5570800
2021-02-19,530.0,530.0,490.0,496.0,495.7333984375,2104700
2021-02-22,515.0,515.0,466.0,468.0,467.7484436035156,1827700
2021-02-23,470.0,470.0,444.0,452.0,451.7570495605469,2121700
2021-02-24,450.0,454.0,440.0,442.0,441.7624206542969,2162700
2021-02-25,440.0,442.0,416.0,428.0,427.76995849609375,1097500
2021-02-26,424.0,478.0,420.0,438.0,437.7645568847656,1726000
2021-03-01,440.0,440.0,412.0,424.0,423.7720947265625,1101700
2021-03-02,422.0,424.0,414.0,424.0,423.7720947265625,850000
2021-03-03,424.0,424.0,410.0,410.0,409.7796325683594,733600
2021-03-04,410.0,410.0,390.0,392.0,391.789306640625,1248000
2021-03-05,392.0,422.0,382.0,410.0,409.7796325683594,670200
2021-03-08,410.0,410.0,390.0,392.0,391.789306640625,596400
2021-03-09,384.0,396.0,380.0,380.0,379.7957458496094,997000
2021-03-10,380.0,440.0,366.0,410.0,409.7796325683594,1212200
2021-03-12,412.0,510.0,410.0,510.0,509.7258605957031,3549100
2021-03-15,540.0,550.0,476.0,492.0,491.73553466796875,1914900
2021-03-16,490.0,490.0,480.0,482.0,481.74090576171875,1102900
2021-03-17,470.0,492.0,470.0,478.0,477.7430725097656,1232000
2021-03-18,480.0,494.0,470.0,492.0,491.73553466796875,1507100
2021-03-19,488.0,520.0,472.0,500.0,499.7312316894531,973800
2021-03-22,494.0,510.0,494.0,500.0,499.7312316894531,404700
2021-03-23,494.0,505.0,490.0,498.0,497.7323303222656,214600
2021-03-24,515.0,515.0,492.0,505.0,504.7285461425781,557100
2021-03-25,505.0,520.0,492.0,496.0,495.7333984375,381500
2021-03-26,496.0,510.0,496.0,510.0,509.7258605957031,338700
2021-03-29,515.0,600.0,515.0,575.0,574.69091796875,6597600
2021-03-30,585.0,630.0,555.0,560.0,559.698974609375,877400
2021-03-31,555.0,600.0,535.0,600.0,599.677490234375,443500
2021-04-01,600.0,620.0,580.0,590.0,589.682861328125,1196600
2021-04-05,590.0,610.0,570.0,605.0,604.6748046875,614800
2021-04-06,605.0,625.0,595.0,605.0,604.6748046875,260600
2021-04-07,605.0,620.0,605.0,610.0,609.672119140625,463700
2021-04-08,615.0,735.0,610.0,725.0,724.6102905273438,767200
2021-04-09,725.0,775.0,680.0,710.0,709.6183471679688,2383600
2021-04-12,715.0,725.0,700.0,720.0,719.6129760742188,1061100
2021-04-13,720.0,735.0,700.0,720.0,719.6129760742188,355100
2021-04-14,720.0,745.0,715.0,745.0,744.5995483398438,434200
2021-04-15,740.0,765.0,720.0,755.0,754.5941772460938,494400
2021-04-16,755.0,825.0,745.0,820.0,819.5592651367188,1540700
2021-04-19,820.0,820.0,820.0,820.0,819.5592651367188,0
2021-04-20,820.0,985.0,805.0,925.0,924.5028076171875,3756900
2021-04-21,940.0,995.0,865.0,925.0,924.5028076171875,1748200
2021-04-22,925.0,945.0,920.0,930.0,929.5001220703125,404700
2021-04-23,930.0,1050.0,865.0,1010.0,1009.4570922851562,1378400
2021-04-26,1010.0,1010.0,1010.0,1010.0,1009.4570922851562,0
2021-05-24,1000.0,1015.0,940.0,1010.0,1009.4570922851562,1741800
2021-05-25,1010.0,1070.0,980.0,1005.0,1004.4597778320312,464600
2021-05-27,1000.0,1010.0,950.0,1005.0,1004.4597778320312,674900
2021-05-28,1000.0,1000.0,990.0,995.0,994.4651489257812,200100
2021-05-31,990.0,1000.0,960.0,1000.0,999.4624633789062,488400
2021-06-02,1000.0,1070.0,930.0,930.0,929.5001220703125,806800
2021-06-03,925.0,925.0,870.0,915.0,914.5081787109375,727800
2021-06-04,920.0,955.0,920.0,955.0,954.4866943359375,379900
2021-06-07,960.0,970.0,900.0,965.0,964.4813232421875,486000
