Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,262.0,272.0,252.0,270.0,270.0,83925300
2021-01-05,270.0,286.0,270.0,272.0,272.0,173464400
2021-01-06,276.0,278.0,262.0,266.0,266.0,76393400
2021-01-07,272.0,284.0,268.0,268.0,268.0,229192700
2021-01-08,270.0,276.0,266.0,268.0,268.0,82159400
2021-01-11,270.0,272.0,266.0,268.0,268.0,74357800
2021-01-12,274.0,278.0,270.0,270.0,270.0,135805500
2021-01-13,274.0,276.0,268.0,270.0,270.0,56836100
2021-01-14,274.0,274.0,266.0,268.0,268.0,48740100
2021-01-15,268.0,272.0,266.0,268.0,268.0,64801800
2021-01-18,268.0,270.0,256.0,258.0,258.0,57752400
2021-01-19,258.0,262.0,252.0,254.0,254.0,56213900
2021-01-20,254.0,260.0,250.0,258.0,258.0,37086600
2021-01-21,260.0,264.0,256.0,258.0,258.0,33097000
2021-01-22,260.0,260.0,242.0,246.0,246.0,70831300
2021-01-25,246.0,246.0,232.0,238.0,238.0,54996400
2021-01-26,232.0,238.0,222.0,226.0,226.0,87508000
2021-01-27,226.0,226.0,214.0,222.0,222.0,56004200
2021-01-28,220.0,228.0,212.0,214.0,214.0,50200800
2021-01-29,216.0,220.0,202.0,212.0,212.0,47342300
2021-02-01,214.0,224.0,202.0,224.0,224.0,59793900
2021-02-02,228.0,232.0,218.0,220.0,220.0,49330800
2021-02-03,232.0,246.0,220.0,246.0,246.0,186172000
2021-02-04,248.0,250.0,238.0,246.0,246.0,96496900
2021-02-05,248.0,260.0,246.0,256.0,256.0,105872700
2021-02-08,260.0,270.0,260.0,266.0,266.0,110292200
2021-02-09,266.0,270.0,254.0,254.0,254.0,59825800
2021-02-10,256.0,260.0,250.0,258.0,258.0,35840600
2021-02-11,258.0,262.0,254.0,258.0,258.0,17035200
2021-02-15,262.0,266.0,256.0,262.0,262.0,33143200
2021-02-16,262.0,264.0,254.0,256.0,256.0,26485700
2021-02-17,256.0,264.0,250.0,250.0,250.0,44826600
2021-02-18,250.0,252.0,242.0,246.0,246.0,31434700
2021-02-19,246.0,248.0,240.0,240.0,240.0,34382000
2021-02-22,242.0,252.0,240.0,248.0,248.0,40613100
2021-02-23,250.0,252.0,244.0,244.0,244.0,16745000
2021-02-24,244.0,248.0,240.0,244.0,244.0,15784100
2021-02-25,244.0,250.0,242.0,246.0,246.0,15416200
2021-02-26,244.0,244.0,238.0,242.0,242.0,23999900
2021-03-01,242.0,244.0,232.0,236.0,236.0,163396500
2021-03-02,240.0,248.0,222.0,228.0,228.0,658186300
2021-03-03,228.0,230.0,224.0,228.0,228.0,40230500
2021-03-04,230.0,230.0,224.0,224.0,224.0,50167500
2021-03-05,222.0,232.0,222.0,230.0,230.0,43911300
2021-03-08,230.0,234.0,226.0,226.0,226.0,21744600
2021-03-09,230.0,230.0,222.0,224.0,224.0,25897100
2021-03-10,228.0,230.0,224.0,224.0,224.0,11826700
2021-03-12,224.0,230.0,224.0,226.0,226.0,17791700
2021-03-15,230.0,232.0,224.0,228.0,228.0,21417900
2021-03-16,230.0,232.0,226.0,226.0,226.0,22594000
2021-03-17,226.0,230.0,224.0,226.0,226.0,12322400
2021-03-18,226.0,230.0,226.0,226.0,226.0,18624600
2021-03-19,228.0,228.0,224.0,226.0,226.0,11574300
2021-03-22,228.0,228.0,224.0,226.0,226.0,12942800
2021-03-23,226.0,226.0,220.0,222.0,222.0,48176000
2021-03-24,222.0,222.0,214.0,214.0,214.0,83286600
2021-03-25,214.0,218.0,204.0,210.0,210.0,47856300
2021-03-26,218.0,218.0,208.0,214.0,214.0,16784700
2021-03-29,214.0,216.0,206.0,206.0,206.0,36485500
2021-03-30,206.0,210.0,202.0,202.0,202.0,45627800
2021-03-31,202.0,210.0,200.0,202.0,202.0,21769400
2021-04-01,202.0,206.0,200.0,204.0,204.0,15869200
2021-04-05,204.0,206.0,190.0,190.0,190.0,148913700
2021-04-06,190.0,196.0,185.0,193.0,193.0,65867100
2021-04-07,194.0,197.0,188.0,191.0,191.0,42083600
2021-04-08,194.0,200.0,191.0,200.0,200.0,52526900
2021-04-09,200.0,200.0,196.0,196.0,196.0,64389900
